"","k","Phi","Measure","Mean","S.d."
"218","6","0.004","NMI",0.396093559911727,0.0563113556874308
"219","6","0.004","Sil",-0.039583008870862,0.0446651846829549
"220","6","0.004","Error",0.616022083246361,0.0262511755906725
"221","6","0.006","ARI",0.386487441969188,0.0575601247454943
"222","6","0.006","NMI",0.412054231589885,0.0450352803210855
"223","6","0.006","Sil",-0.0488495246496251,0.0375296841405656
"224","6","0.006","Error",0.615444108568585,0.0329809133457133
"225","6","0.008","ARI",0.357697335193806,0.0731063749233274
"226","6","0.008","NMI",0.392344369392537,0.0578462874033384
"227","6","0.008","Sil",-0.0559330896957664,0.0318993104783457
"228","6","0.008","Error",0.613155960161689,0.0334907763989439
"229","6","0.01","ARI",0.391691558555147,0.0700746677147544
"230","6","0.01","NMI",0.410310527859502,0.0560318925957413
"231","6","0.01","Sil",-0.0447043264452904,0.0394351607897625
"232","6","0.01","Error",0.618406663627018,0.0289745673180152
"233","6","0.012","ARI",0.405473574093942,0.077420494429858
"234","6","0.012","NMI",0.427078784672661,0.0676963311986202
"235","6","0.012","Sil",-0.0412123408270849,0.0449768022875231
"236","6","0.012","Error",0.615622975314488,0.0307881131873874
"237","6","0.014","ARI",0.398544541450051,0.0721714535104189
"238","6","0.014","NMI",0.418405723162703,0.0515081943121393
"239","6","0.014","Sil",-0.0488664565076919,0.0446309778902077
"240","6","0.014","Error",0.619294321567561,0.0341594147099435
"241","6","0.016","ARI",0.384075884610688,0.0632792017180906
"242","6","0.016","NMI",0.408692505399987,0.0522454150517512
"243","6","0.016","Sil",-0.0489604202615171,0.0265913816075586
"244","6","0.016","Error",0.607308472014482,0.0336763512958335
"245","6","0.018","ARI",0.380580865445945,0.0849621706797699
"246","6","0.018","NMI",0.4058306458657,0.0680233167147428
"247","6","0.018","Sil",-0.0453292558668464,0.0467966762436735
"248","6","0.018","Error",0.612113398213482,0.0265830235507261
"249","6","0.02","ARI",0.415731403675709,0.0869568131885346
"250","6","0.02","NMI",0.425183713225136,0.0692039261201495
"251","6","0.02","Sil",-0.036706714297399,0.0403023101697811
"252","6","0.02","Error",0.625734058364914,0.0273352871649243
"253","6","0.03","ARI",0.427386720466926,0.0693315648186947
"254","6","0.03","NMI",0.442088051948545,0.0569764580481511
"255","6","0.03","Sil",-0.0335757067237918,0.0404870629394858
"256","6","0.03","Error",0.616627723909838,0.0281595082833356
"257","6","0.04","ARI",0.456824868179294,0.0818295090655378
"258","6","0.04","NMI",0.466483793993495,0.066664949046129
"259","6","0.04","Sil",-0.0186731729487098,0.0428042394768659
"260","6","0.04","Error",0.618589773660159,0.0355668323745892
